2021-01-18 18:16:42 | add fc layer number: 6 fold
epoch train_loss vali_loss test_loss train_acc vali_acc test_acc test_auc test_f1 test_recall test_precision train_time test_time
0 14.123098890022568 0.6564814076704137 0.706228494644165 0.66770834 0.8 0.7844523191452026 0.5477034411460642 0.0 0.0 0.0 401090 197938 
1 0.7456325500582656 0.5038436658242169 0.5320809483528137 0.7114583 0.8 0.7844523191452026 0.5558263181214 0.0 0.0 0.0 304270 162928 
2 0.636785283316082 1.0218800928662806 1.0953372716903687 0.7583333 0.8 0.7844523191452026 0.5519125683060109 0.0 0.0 0.0 300265 159940 
3 0.2664529927074909 0.7041233890196856 0.7460657954216003 0.88645834 0.8 0.7844523191452026 0.5451188893811845 0.0 0.0 0.0 309274 158930 
4 0.23860959503799678 0.5240028539124657 0.5562959909439087 0.90416664 0.7941176 0.7773851752281189 0.5457096440702998 0.0 0.0 0.0 333443 165408 
5 0.07422430297980706 0.904076505057952 0.9676977396011353 0.98229164 0.8 0.7773851752281189 0.542903559297002 0.0 0.0 0.0 310757 159940 
6 0.02552389307723691 1.1695985790999497 1.2571406364440918 0.99583334 0.8 0.7773851752281189 0.5402451631959828 0.0 0.0 0.0 328573 164946 
7 0.6129408788319173 1.2510780502768124 1.2437392473220825 0.8875 0.2 0.21554769575595856 0.5502141485748043 0.3546511627906977 1.0 0.21554770318021202 306263 160365 
8 0.43095453456044197 0.6579211249071009 0.6996676921844482 0.84479165 0.8 0.7844523191452026 0.550509525919362 0.0 0.0 0.0 356243 177950 
9 0.12991527995327487 1.3411608690286383 1.4451348781585693 0.965625 0.8 0.7844523191452026 0.5395067198345886 0.0 0.0 0.0 363246 164929 
10 0.40861457044848065 0.5816580807461458 0.6237267255783081 0.85625 0.8 0.7844523191452026 0.5134396691773739 0.0 0.0 0.0 319256 167946 
11 0.2996044287273738 0.5192806173773373 0.5483217239379883 0.90520835 0.8 0.7844523191452026 0.5296115787919067 0.0 0.0 0.0 307247 161363 
12 0.3873710293322802 0.7185761886484483 0.7324455976486206 0.8510417 0.46470588 0.434628963470459 0.5244424752621474 0.3333333333333333 0.6557377049180327 0.22346368715083798 302692 162947 
13 0.2559868279262446 0.6075036392492407 0.6096917986869812 0.9010417 0.7941176 0.7773851752281189 0.5664599025254763 0.0 0.0 0.0 322329 164317 
14 0.4228181111315886 0.519077413222369 0.5485255122184753 0.8385417 0.8 0.7844523191452026 0.5320484418845075 0.0 0.0 0.0 353430 165962 
15 0.2119650990391771 0.6934259456746719 0.7168586254119873 0.92291665 0.5647059 0.5335689187049866 0.533746861615714 0.3125 0.4918032786885246 0.22900763358778625 307259 160040 
16 0.09938707766511166 0.5646435527240529 0.5913147330284119 0.96875 0.7882353 0.7667844295501709 0.5455619553980209 0.0 0.0 0.0 298249 162964 
17 0.05689319816398589 0.7347820660647224 0.7472522854804993 0.9791667 0.5647059 0.5512367486953735 0.5434204696499778 0.29834254143646405 0.4426229508196721 0.225 300247 162961 
18 0.03751195194587732 1.0109646965475643 0.9985472559928894 0.990625 0.42352942 0.416961133480072 0.5347068379855265 0.33734939759036137 0.6885245901639344 0.22340425531914893 304258 162940 
19 0.054456609419867165 0.6323703814955318 0.6612690687179565 0.98541665 0.7647059 0.7667844295501709 0.5447496677004874 0.10810810810810811 0.06557377049180328 0.3076923076923077 301447 163687 
20 0.016075774570344946 0.9070043879396775 0.9833099842071533 0.996875 0.7941176 0.7773851752281189 0.543789691330675 0.0 0.0 0.0 308259 157952 
21 0.45284292674332394 0.5328700984225554 0.5650575160980225 0.8666667 0.8 0.7844523191452026 0.5276177817161424 0.0 0.0 0.0 297261 161951 
22 0.430198235809803 0.5063984941033756 0.5330514311790466 0.78541666 0.8 0.7844523191452026 0.5279870033968395 0.0 0.0 0.0 307779 165695 
23 0.2384271491318941 0.580764743159799 0.6223655939102173 0.903125 0.8 0.7773851752281189 0.5338945502879929 0.0 0.0 0.0 303247 164947 
24 0.10570865472157796 0.7195081184892094 0.7753711342811584 0.996875 0.8 0.7773851752281189 0.5344853049771082 0.0 0.0 0.0 301251 159134 
25 0.058895411621779206 0.7063067951623131 0.7628182172775269 0.99791664 0.8 0.7773851752281189 0.5348545266578053 0.0 0.0 0.0 302250 160948 
26 0.03571106190793216 0.944155787545092 1.0246553421020508 0.99791664 0.8 0.7773851752281189 0.5370698567419879 0.0 0.0 0.0 296247 165949 
27 0.02628936314334472 0.8670599199393216 0.9415984153747559 0.99791664 0.8 0.7773851752281189 0.5354452813469207 0.0 0.0 0.0 297088 164120 
28 0.016178688374930063 0.8767756605849547 0.9540215730667114 0.99895835 0.8 0.7773851752281189 0.5364791020528725 0.0 0.0 0.0 307050 161103 
29 0.013693699582169453 0.8483628732316634 0.9243476986885071 0.99895835 0.8 0.7773851752281189 0.5372913897504061 0.0 0.0 0.0 298262 165945 
30 0.011436734009960977 1.155645354267429 1.2583367824554443 0.99895835 0.8 0.7773851752281189 0.5373283119184759 0.0 0.0 0.0 307245 162337 
31 0.011024921591160818 0.8758843208060545 0.9555341601371765 0.99895835 0.8 0.7773851752281189 0.5376606114311032 0.0 0.0 0.0 299248 163964 
32 0.010315968708406823 1.05364142875461 1.1501529216766357 0.99895835 0.8 0.7773851752281189 0.5376606114311033 0.0 0.0 0.0 300272 160253 
33 0.008583981735864655 1.079362246043542 1.1784107685089111 0.99895835 0.8 0.7773851752281189 0.5389898094816128 0.0 0.0 0.0 296844 160880 
34 0.013086127986510595 1.3124952944762567 1.430140495300293 0.99791664 0.8 0.7773851752281189 0.5383990547924974 0.0 0.0 0.0 299247 164949 
35 0.011069675606753057 1.1149821914294187 1.2165744304656982 0.996875 0.8 0.7773851752281189 0.5395805641707281 0.0 0.0 0.0 298284 165951 
36 0.014108043702920743 0.7522794905830832 0.8141389489173889 0.99791664 0.7941176 0.7773851752281189 0.5392851868261703 0.0 0.0 0.0 292249 163850 
37 0.011355497265079369 1.1254719909499673 1.2260246276855469 0.99791664 0.8 0.7773851752281189 0.5414266725742136 0.0 0.0 0.0 294254 158962 
38 0.021034622996921826 0.6662671804428101 0.7104871273040771 0.9947917 0.7823529 0.7703180313110352 0.5398020971791464 0.0 0.0 0.0 304250 159948 
39 0.014585509394237306 0.6490957491538104 0.6799188256263733 0.99791664 0.7705882 0.7561837434768677 0.5406143848766799 0.08000000000000002 0.04918032786885246 0.21428571428571427 300409 204934 
2021-01-18 18:18:37 | add fc layer number: 7 fold
epoch train_loss vali_loss test_loss train_acc vali_acc test_acc test_auc test_f1 test_recall test_precision train_time test_time
0 23.063721031943956 0.9893105780377107 0.9976739883422852 0.6333333 0.7882353 0.7879858613014221 0.48991031390134526 0.0 0.0 0.0 833147 181958 
1 1.7567962696154913 2.511145734786987 2.5302059650421143 0.68125 0.7882353 0.7879858613014221 0.5008968609865471 0.0 0.0 0.0 307245 163964 
2 1.1215544892843885 0.6959212864146513 0.7292231321334839 0.75208336 0.7882353 0.7879858613014221 0.4705904334828102 0.0 0.0 0.0 308245 164948 
