2021-01-13 17:00:12 | add fc layer number: 1 fold
epoch train_loss vali_loss test_loss train_acc vali_acc test_acc test_auc test_f1 test_recall test_precision train_time test_time
0 0.7426088499271963 0.524408625336144 0.5207570791244507 0.8070866 0.78346455 0.7857142686843872 0.5696969696969697 0.0 0.0 0.0 281221 562497 
1 0.24814664648743126 0.5232213167693671 0.520222008228302 0.8996063 0.78346455 0.7857142686843872 0.4966666666666667 0.0 0.0 0.0 828132 499997 
2 0.17623150771058452 0.5478322336992879 0.5458593964576721 0.9360236 0.78346455 0.7857142686843872 0.49818181818181817 0.0 0.0 0.0 765619 546869 
3 0.1238503772912063 0.5261570219918499 0.5226744413375854 0.9468504 0.78346455 0.7857142686843872 0.39636363636363636 0.0 0.0 0.0 953125 562502 
4 0.17254418750682216 0.5632369072418514 0.5612584352493286 0.93307084 0.78346455 0.7857142686843872 0.45999999999999996 0.0 0.0 0.0 953126 531249 
5 0.13467986004676405 0.5487804985421849 0.5438675880432129 0.94389766 0.78346455 0.7857142686843872 0.3790909090909091 0.0 0.0 0.0 953110 531251 
6 0.1007303278086575 0.5473507192191176 0.5423856377601624 0.96062994 0.78346455 0.7857142686843872 0.3612121212121212 0.0 0.0 0.0 765628 515622 
7 0.0628364118124087 0.5748253544484536 0.5690051913261414 0.9753937 0.78346455 0.7857142686843872 0.37 0.0 0.0 0.0 796865 499989 
8 0.07813657736625727 0.5632382687621229 0.5577725172042847 0.9734252 0.78346455 0.7857142686843872 0.36151515151515146 0.0 0.0 0.0 828123 546878 
9 0.04012286757837658 0.5957160807970002 0.5896335244178772 0.988189 0.78346455 0.7857142686843872 0.3690909090909091 0.0 0.0 0.0 812486 500003 
10 0.04589377047391388 0.6372181102046817 0.630611777305603 0.9832677 0.78346455 0.7857142686843872 0.3506060606060606 0.0 0.0 0.0 749971 515639 
11 0.03611029908345191 0.7166337985692062 0.7089501619338989 0.9832677 0.78346455 0.7857142686843872 0.34575757575757576 0.0 0.0 0.0 859366 531249 
12 0.025743800472086808 0.6816825510010006 0.674613356590271 0.99114174 0.78346455 0.7857142686843872 0.33848484848484844 0.0 0.0 0.0 812491 515625 
13 0.022750072230724252 0.7721156046146483 0.764007568359375 0.99114174 0.78346455 0.7857142686843872 0.34606060606060607 0.0 0.0 0.0 749972 484389 
14 0.06559900475269932 0.5358289480209351 0.5315160751342773 0.97244096 0.78346455 0.7857142686843872 0.35666666666666663 0.0 0.0 0.0 781228 500012 
15 0.03167650970244436 0.8209853350646853 0.8122962713241577 0.98917323 0.78346455 0.7857142686843872 0.3487878787878788 0.0 0.0 0.0 859353 515634 
