2021-01-15 20:23:21 | add fc layer number: 6 fold
epoch train_loss vali_loss test_loss train_acc vali_acc test_acc test_auc test_f1 test_recall test_precision train_time test_time
0 0.5617652356624603 66.95147249558393 2.54500675201416 0.81458336 0.84117645 0.8197879791259766 0.6291479820627802 0.2816901408450704 0.16666666666666666 0.9090909090909091 953831 289267 
1 0.2028369174649318 10.688825057534611 2.029344320297241 0.909375 0.85882354 0.8445229530334473 0.7458520179372198 0.4210526315789474 0.26666666666666666 1.0 616912 893703 
2 0.15619103809197743 16.46207073436064 2.194077491760254 0.94166666 0.84117645 0.8162544369697571 0.7366965620328849 0.23529411764705882 0.13333333333333333 1.0 647028 889713 
3 0.08130196078370015 0.5655694803989986 0.46534889936447144 0.96875 0.9235294 0.9010600447654724 0.9512705530642751 0.791044776119403 0.8833333333333333 0.7162162162162162 752628 881735 
4 0.1153626528258125 2.292069746466244 1.91322660446167 0.95729166 0.8117647 0.7879858613014221 0.762593423019432 0.0 0.0 0.0 737451 920705 
5 0.10162604522580902 0.3896052693619448 0.5250560641288757 0.9604167 0.9117647 0.8727915287017822 0.936659192825112 0.7352941176470588 0.8333333333333334 0.6578947368421053 673641 886716 
6 0.06238552541472018 0.6181506647783167 0.9411112070083618 0.98229164 0.88235295 0.8445229530334473 0.8991778774289985 0.45000000000000007 0.3 0.9 667977 871722 
7 0.04804456531322406 20.237213338122647 1.9147237539291382 0.9791667 0.8117647 0.7879858613014221 0.8281390134529147 0.0 0.0 0.0 686539 880718 
8 0.09415144749606649 0.25334354121895397 0.43816372752189636 0.9614583 0.9117647 0.9010600447654724 0.9321001494768312 0.7777777777777778 0.8166666666666667 0.7424242424242424 698538 952725 
9 0.05531157646328211 0.9602724397883696 1.288407325744629 0.98229164 0.8235294 0.8268551230430603 0.9588565022421525 0.30985915492957744 0.18333333333333332 1.0 713662 844715 
10 0.04054744200257119 0.8273108061622171 0.8949214220046997 0.9875 0.9117647 0.9045936465263367 0.9276158445440955 0.7096774193548387 0.55 1.0 708358 885734 
11 0.11955858734436334 1.6982473245219272 0.3704780042171478 0.9625 0.92941177 0.9151943325996399 0.9415171898355754 0.7818181818181817 0.7166666666666667 0.86 669206 875707 
12 0.08064516671001912 1.6301935939227834 1.361920952796936 0.9739583 0.85882354 0.8162544369697571 0.835201793721973 0.23529411764705882 0.13333333333333333 1.0 716919 879720 
13 0.032901413893947996 2.78377002547769 2.2069156169891357 0.9875 0.81764704 0.8056536912918091 0.8376307922272047 0.15384615384615385 0.08333333333333333 1.0 658549 892716 
14 0.02895044641336426 2.6867774290197035 2.522655725479126 0.9895833 0.61764705 0.5971731543540955 0.9704783258594918 0.5128205128205129 1.0 0.3448275862068966 680908 865707 
15 0.03190121421406123 2.6053359466440535 0.3803706765174866 0.9895833 0.9470588 0.9363957643508911 0.9591180866965621 0.826923076923077 0.7166666666666667 0.9772727272727273 639557 876708 
16 0.030271061344925933 4.112166421553668 2.7508602142333984 0.9895833 0.81764704 0.7950530052185059 0.7569880418535126 0.06451612903225806 0.03333333333333333 1.0 694780 909709 
17 0.02389943590387702 1.8458444258745978 1.7455599308013916 0.9947917 0.8352941 0.8127208352088928 0.8852391629297459 0.208955223880597 0.11666666666666667 1.0 769367 861745 
18 0.010565107402483894 0.25389961173846937 0.35458841919898987 0.996875 0.9647059 0.9575971961021423 0.9757847533632288 0.888888888888889 0.8 1.0 697724 857727 
19 0.008833049290092276 1.0172206542071174 0.8349961042404175 0.99791664 0.90588236 0.8904593586921692 0.9359491778774289 0.6516853932584269 0.48333333333333334 1.0 765213 875706 
20 0.007817195703508636 0.7283224915756898 0.8445613384246826 0.99895835 0.9 0.8869258165359497 0.9732062780269058 0.6363636363636364 0.4666666666666667 1.0 725526 908696 
21 0.016640400434577412 0.4788382018313688 0.49681556224823 0.9927083 0.88235295 0.9151943325996399 0.9757473841554558 0.8309859154929577 0.9833333333333333 0.7195121951219512 629915 870725 
22 0.021460498126786357 1.737413630766027 1.4874343872070312 0.99375 0.7352941 0.7738515734672546 0.9715994020926757 0.6483516483516484 0.9833333333333333 0.48360655737704916 726734 903711 
23 0.06562232158418434 0.5641294286531561 0.7248201370239258 0.98125 0.9 0.8727915287017822 0.9542227204783258 0.7567567567567568 0.9333333333333333 0.6363636363636364 668868 888715 
24 0.01524996255041818 1.2545014696962693 0.9988902807235718 0.9947917 0.88235295 0.8833922147750854 0.8840059790732436 0.6206896551724138 0.45 1.0 723438 865724 
25 0.010326475446587817 0.3232209740923923 0.2688264548778534 0.99583334 0.9588235 0.9646643400192261 0.9692825112107624 0.9152542372881356 0.9 0.9310344827586207 646641 887703 
26 0.028051255370640623 0.42096968304146737 0.3212713599205017 0.98854166 0.92941177 0.9399293065071106 0.9767563527653215 0.8349514563106796 0.7166666666666667 1.0 736555 875722 
27 0.01906726701805989 0.12397915438255842 0.23147054016590118 0.990625 0.9823529 0.9434629082679749 0.9729820627802691 0.8545454545454546 0.7833333333333333 0.94 757798 913696 
28 0.007164544855853213 0.24990537503241178 0.30703166127204895 0.99791664 0.9705882 0.9646643400192261 0.971375186846039 0.9166666666666666 0.9166666666666666 0.9166666666666666 701680 871738 
29 0.002431515392724274 1.4772695287623827 0.6062492728233337 0.99791664 0.9470588 0.9222614765167236 0.936883408071749 0.8225806451612903 0.85 0.796875 766693 825730 
30 0.02098759924989887 0.697258155486163 0.600854218006134 0.9927083 0.8235294 0.8975265026092529 0.9752989536621823 0.802721088435374 0.9833333333333333 0.6781609195402298 674685 870706 
31 0.010104691561233873 0.618029663142036 0.468337744474411 0.99583334 0.8882353 0.9081271886825562 0.9723467862481314 0.8115942028985509 0.9333333333333333 0.717948717948718 696678 874725 
32 0.010645633472207313 1.3204051550696878 1.0876017808914185 0.99583334 0.67058825 0.7173144817352295 0.9535500747384156 0.5918367346938775 0.9666666666666667 0.4264705882352941 692410 906711 
33 0.013169341712455207 0.8071124679902021 0.5916062593460083 0.9927083 0.85882354 0.8904593586921692 0.9706278026905828 0.7891156462585033 0.9666666666666667 0.6666666666666666 725134 882700 
34 0.03540627910939899 3.7471249720629523 2.393155574798584 0.98854166 0.8235294 0.7915194630622864 0.8239162929745889 0.03278688524590164 0.016666666666666666 1.0 735596 930703 
35 0.010162268776548444 0.33558567740461404 0.3235284090042114 0.996875 0.9529412 0.9469964504241943 0.9777653213751869 0.8598130841121495 0.7666666666666667 0.9787234042553191 690570 912540 
36 0.007372433680829241 6.676962549546186 2.858584403991699 0.996875 0.8117647 0.7985865473747253 0.6166666666666667 0.09523809523809523 0.05 1.0 712532 864713 
37 0.005565281616073511 0.4383293011770173 0.3005066215991974 0.996875 0.9470588 0.9540635943412781 0.9785874439461884 0.8925619834710743 0.9 0.8852459016393442 673919 888717 
38 0.014338131955376336 0.5185638651032658 0.36296334862709045 0.9947917 0.9588235 0.9505300521850586 0.9617339312406576 0.8793103448275861 0.85 0.9107142857142857 735734 833733 
39 0.01398587780518028 0.3476027415079229 0.4844191074371338 0.9947917 0.90588236 0.9010600447654724 0.9650224215246636 0.8 0.9333333333333333 0.7 731470 854713 
2021-01-15 20:29:32 | add fc layer number: 7 fold
epoch train_loss vali_loss test_loss train_acc vali_acc test_acc test_auc test_f1 test_recall test_precision train_time test_time
0 0.534755003452301 3691.502734375 3.2703070640563965 0.79895836 0.8235294 0.7879858613014221 0.5 0.0 0.0 0.0 210511 312260 
1 0.21968052027126153 649.3263944738052 3.2703070640563965 0.9145833 0.8235294 0.7879858613014221 0.5 0.0 0.0 0.0 652930 897700 
2 0.12931139059364796 142.6203119614545 3.1688053607940674 0.95208335 0.82941175 0.7915194630622864 0.525 0.03278688524590164 0.016666666666666666 1.0 624224 839711 
3 0.11093984345595041 10.606529179741354 9.3526029586792 0.959375 0.1882353 0.2332155406475067 0.8916666666666667 0.3560830860534125 1.0 0.21660649819494585 660211 869719 
4 0.06645094979709636 2.3720927246353205 0.7953150272369385 0.97291666 0.8352941 0.8268551230430603 0.9469730941704034 0.6956521739130436 0.9333333333333333 0.5544554455445545 704653 876722 
5 0.08314083737010756 6.286972027403467 0.9572089910507202 0.96979165 0.9 0.851590096950531 0.9423766816143497 0.4615384615384615 0.3 1.0 804620 908709 
6 0.10384755629735688 49.85305678423713 3.2703070640563965 0.9739583 0.8235294 0.7879858613014221 0.5 0.0 0.0 0.0 753774 905701 
7 0.08571727932430803 2.743681655210607 2.481276750564575 0.96770835 0.63529414 0.6537102460861206 0.9233931240657698 0.5333333333333333 0.9333333333333333 0.37333333333333335 696180 843726 
8 0.07912913400990268 0.16354404725134372 0.26709505915641785 0.9770833 0.9529412 0.9399293065071106 0.9731689088191331 0.8468468468468469 0.7833333333333333 0.9215686274509803 641980 930687 
9 0.056600606240681375 0.6664419055697234 0.47625532746315 0.98020834 0.91764706 0.9293286204338074 0.9684230194319882 0.8076923076923077 0.7 0.9545454545454546 702494 884716 
10 0.12808149007614703 1126.1839901194853 3.2703070640563965 0.9760417 0.8235294 0.7879858613014221 0.5 0.0 0.0 0.0 696537 920692 
11 0.08470656769350171 350.29214154411767 3.2159013748168945 0.96666664 0.8235294 0.7915194630622864 0.5017189835575485 0.03278688524590164 0.016666666666666666 1.0 695219 870708 
12 0.03217881426680833 0.3494022775422576 0.2716519832611084 0.9875 0.9882353 0.9646643400192261 0.9764573991031391 0.9180327868852459 0.9333333333333333 0.9032258064516129 722352 900726 
13 0.038592277312030396 1.568329978552784 0.4725934863090515 0.9875 0.9705882 0.9328621625900269 0.9666292974588939 0.8429752066115703 0.85 0.8360655737704918 691679 866721 
14 0.06537059390296539 1.215007282705868 0.9770604968070984 0.984375 0.80588233 0.8586572408676147 0.9774289985052317 0.7435897435897435 0.9666666666666667 0.6041666666666666 722199 887724 
15 0.014491721881980387 2.0872107405708555 0.9704166054725647 0.99583334 0.90588236 0.9045936465263367 0.9088191330343798 0.7216494845360825 0.5833333333333334 0.9459459459459459 707643 950683 
16 0.020321979109333674 0.9768741835566128 0.45618149638175964 0.9947917 0.9352941 0.9434629082679749 0.9761210762331838 0.870967741935484 0.9 0.84375 701842 880723 
17 0.04138896723355477 2.980161484550048 1.903576135635376 0.98229164 0.85294116 0.8091872930526733 0.835612855007474 0.18181818181818182 0.1 1.0 820481 871739 
18 0.01903912942507304 4.300098304189648 1.7480839490890503 0.99375 0.85294116 0.8197879791259766 0.8583333333333334 0.2608695652173913 0.15 1.0 773342 912709 
19 0.010346989389897013 0.24561589529792613 0.26456165313720703 0.996875 0.9588235 0.9681978821754456 0.9864723467862482 0.9230769230769231 0.9 0.9473684210526315 883068 915708 
20 0.01426973604405551 0.9310939155241238 0.38680216670036316 0.9947917 0.9352941 0.9540635943412781 0.9537369207772793 0.8785046728971964 0.7833333333333333 1.0 705169 856712 
21 0.07391605571416827 0.6971438088813396 0.4891262650489807 0.984375 0.90588236 0.9293286204338074 0.9657324364723467 0.8 0.6666666666666666 1.0 783726 936700 
