2021-01-13 17:18:25 | add fc layer number: 6 fold
epoch train_loss vali_loss test_loss train_acc vali_acc test_acc test_auc test_f1 test_recall test_precision train_time test_time
0 0.6216846300861029 2218733898.5826774 3.3053462505340576 0.76968503 0.78346455 0.7857142686843872 0.5 0.0 0.0 0.0 765571 281259 
1 0.36012402740050486 648840.2844488189 3.3053462505340576 0.81692916 0.78346455 0.7857142686843872 0.5 0.0 0.0 0.0 531216 531265 
2 0.7634432762861252 994145.1102362205 3.3053462505340576 0.9055118 0.78346455 0.7857142686843872 0.5 0.0 0.0 0.0 796852 531249 
3 0.2195482022884324 129231.7466781496 3.3053462505340576 0.91240156 0.78346455 0.7857142686843872 0.5 0.0 0.0 0.0 624980 578110 
4 0.23099976027105737 310521.87130905513 3.3053462505340576 0.91043305 0.78346455 0.7857142686843872 0.5 0.0 0.0 0.0 624987 531258 
5 0.13924797295820057 196933.50184547243 3.3053462505340576 0.9429134 0.78346455 0.7857142686843872 0.5 0.0 0.0 0.0 640609 515627 
6 0.07247394548479731 160254.37057086613 3.3053462505340576 0.9753937 0.78346455 0.7857142686843872 0.5 0.0 0.0 0.0 593709 515639 
7 0.06583170440253311 37167.737696850396 3.3053462505340576 0.9812992 0.78346455 0.7857142686843872 0.5 0.0 0.0 0.0 562482 515626 
8 0.060694196356797785 13892.863250492126 3.3053462505340576 0.97440946 0.78346455 0.7857142686843872 0.5 0.0 0.0 0.0 578101 531234 
9 0.05277222500542018 6564.338636503445 3.3053462505340576 0.9812992 0.78346455 0.7857142686843872 0.5 0.0 0.0 0.0 640606 500016 
10 0.08342079192722641 8853.93081785187 3.3053462505340576 0.97047246 0.78346455 0.7857142686843872 0.5 0.0 0.0 0.0 656215 531263 
11 0.04464195264635358 6361.542630413386 3.3053462505340576 0.984252 0.78346455 0.7857142686843872 0.5 0.0 0.0 0.0 609356 515636 
12 0.008640727856907789 6478.509081262303 3.3053462505340576 0.9980315 0.78346455 0.7857142686843872 0.5 0.0 0.0 0.0 671841 531262 
13 0.005660907480880383 6625.086821788878 3.3053462505340576 0.99901575 0.78346455 0.7857142686843872 0.5 0.0 0.0 0.0 640605 531250 
14 0.008002911089813176 6438.080512579971 3.3053462505340576 0.99704725 0.78346455 0.7857142686843872 0.5 0.0 0.0 0.0 656230 515608 
15 0.02450169434708609 7268.489242433563 3.3053462505340576 0.99311024 0.78346455 0.7857142686843872 0.5 0.0 0.0 0.0 640609 531247 
16 0.016756513638157895 7333.274483267716 3.3053462505340576 0.99114174 0.78346455 0.7857142686843872 0.5 0.0 0.0 0.0 593730 531248 
17 0.015229023982473744 7432.961837167815 3.3053462505340576 0.99311024 0.78346455 0.7857142686843872 0.5 0.0 0.0 0.0 624979 546875 
18 0.01200240653550883 5515.913747231792 3.3053462505340576 0.996063 0.78346455 0.7857142686843872 0.5 0.0 0.0 0.0 578105 515625 
19 0.033354261488558384 3305.1827440637303 3.3053462505340576 0.988189 0.78346455 0.7857142686843872 0.5 0.0 0.0 0.0 593713 546891 
